City,Latitude,Longitude,Severity
Kharagpur,22.351613377913694,87.33276745318219,1
Kharagpur,22.376171598965374,87.33495048609134,3
Kharagpur,22.29402207254649,87.28904764670828,2
Kharagpur,22.287988079307258,87.33128635790398,5
Kharagpur,22.259222048998282,87.2253382034446,4
Kharagpur,22.394394155831403,87.2417331786277,4
Kharagpur,22.298973562379164,87.26697312393142,1
Kharagpur,22.397493253381818,87.25869684234291,5
Kharagpur,22.349657080578947,87.23825126366616,4
Kharagpur,22.291927078837585,87.28179781582122,1
Kharagpur,22.328430407195622,87.34249473908089,5
Kharagpur,22.350515227851044,87.27492030445632,4
Kharagpur,22.30262359401649,87.32122343234184,3
Kharagpur,22.259996872366393,87.27567927135908,1
Kharagpur,22.308817405141866,87.28681153171964,4
Kharagpur,22.292439093406966,87.22660808119889,3
Kharagpur,22.35614672152053,87.2550959265741,4
Kharagpur,22.310687078483586,87.32790945435251,2
Kharagpur,22.375227162470726,87.21899994172855,4
Kharagpur,22.321939492490635,87.22193448523164,4
Kharagpur,22.34114436907879,87.24808895273291,1
Kharagpur,22.355980701802874,87.24408538838257,4
Kharagpur,22.392947696081404,87.22129738532486,4
Kharagpur,22.33783489742622,87.28298999196903,1
Kharagpur,22.306997571457902,87.27470180478421,4
Kharagpur,22.36366706358375,87.32523699011884,1
Kharagpur,22.300225980315044,87.28204010894626,5
Kharagpur,22.283976271470966,87.32238055715978,2
Kharagpur,22.29158591095083,87.31880492119102,2
Kharagpur,22.25772696887828,87.30425357954786,5
Kharagpur,22.38050068641185,87.23165165272583,5
Kharagpur,22.38868753868309,87.32834415961983,4
Kharagpur,22.391182136529153,87.23764660587777,5
Kharagpur,22.29322493561323,87.29567496907814,5
Kharagpur,22.36467086208356,87.31660004378686,4
Kharagpur,22.324461836899502,87.2560906979551,1
Kharagpur,22.389395513762146,87.29255569805204,3
Kharagpur,22.389410868793554,87.27555072454868,2
Kharagpur,22.3194858373831,87.33804878859333,2
Kharagpur,22.291387038957364,87.33018134133002,3
Kharagpur,22.356335434209306,87.2425825073298,5
Kharagpur,22.28131481587698,87.28218944291767,5
Kharagpur,22.259418911232896,87.33559655584764,1
Kharagpur,22.296832612421312,87.24131152853063,2
Kharagpur,22.35338754989287,87.2847461597853,3
Kharagpur,22.27314192148653,87.33423304814346,3
Kharagpur,22.3616295905414,87.20185095461599,3
Kharagpur,22.259949519917775,87.29572246234827,5
Kharagpur,22.29236615032623,87.21782419720058,4
Kharagpur,22.343665069123304,87.26924439471522,2
Kharagpur,22.32007095273457,87.31601259759726,4
Kharagpur,22.35064725586209,87.24519384681133,3
Kharagpur,22.369985338856598,87.34201073697491,2
Kharagpur,22.355227385011016,87.33635349393172,5
Kharagpur,22.37591653369608,87.23760442619742,2
Kharagpur,22.387630099937827,87.31758391544122,5
Kharagpur,22.36414080790266,87.24932787079558,3
Kharagpur,22.357611026461438,87.33125005767671,3
Kharagpur,22.289692339020455,87.25975444807102,2
Kharagpur,22.268893851083035,87.21095285300947,5
Kharagpur,22.315054188761366,87.24860429655128,1
Kharagpur,22.338234205103983,87.25238423955848,4
Kharagpur,22.318012780730616,87.25620236872956,2
Kharagpur,22.263111311936303,87.26069559127545,3
Kharagpur,22.2880487589101,87.24974216083646,4
Kharagpur,22.318482587159387,87.24220711464922,2
Kharagpur,22.393462166353167,87.22871923883629,5
Kharagpur,22.368884120750327,87.2401907142209,5
Kharagpur,22.354195394733825,87.34465222251474,1
Kharagpur,22.335321788817755,87.24908003457445,2
Kharagpur,22.37356107443659,87.30966052309375,4
Kharagpur,22.34900701555721,87.23539691777343,1
Kharagpur,22.34392803437286,87.25399347011272,2
Kharagpur,22.292059855705055,87.27253606093355,1
Kharagpur,22.362028820440575,87.31288846764141,5
Kharagpur,22.38028078295899,87.27305870132102,3
Kharagpur,22.32866220856954,87.22550273186656,3
Kharagpur,22.290844449687246,87.31312271838472,2
Kharagpur,22.260730173767026,87.24233709990429,1
Kharagpur,22.328165754286655,87.25134998512907,3
Kharagpur,22.360037798440747,87.32848747898284,3
Kharagpur,22.267125330392275,87.24678649742866,1
Kharagpur,22.395277159489666,87.33817976698873,2
Kharagpur,22.322961583421325,87.22294571229587,3
Kharagpur,22.286317506798817,87.33290198772221,3
Kharagpur,22.38193627792148,87.25127806630982,3
