City,Latitude,Longitude
Kharagpur,22.314664547522543,87.21096582499102
Kharagpur,22.398283341641136,87.24858794226564
Kharagpur,22.30858194597869,87.29144551560296
Kharagpur,22.29710665305146,87.26598877190402
Kharagpur,22.280945399828845,87.31390173151279
Kharagpur,22.277907428526177,87.21205143457776
Kharagpur,22.270159301969777,87.2921503976426
Kharagpur,22.284222088275563,87.324720179115
Kharagpur,22.276467765410448,87.20139256767698
Kharagpur,22.388089975722707,87.24167935363282
Kharagpur,22.3333858203172,87.24959643959326
Kharagpur,22.29578903669627,87.26930929899346
Kharagpur,22.29469838457284,87.27387379763027
Kharagpur,22.25480555576791,87.30749449340935
Kharagpur,22.295223453857766,87.28826445668345
Kharagpur,22.31108536903848,87.32643254912227
Kharagpur,22.33545368490046,87.20555028102318
Kharagpur,22.396946411893012,87.24300593803873
Kharagpur,22.30425350684247,87.2390666269191
Kharagpur,22.29376607536677,87.27925666797212
Kharagpur,22.310616131878163,87.3375784363109
Kharagpur,22.386327943492415,87.24285802502298
Kharagpur,22.27607955032044,87.25355961937937
Kharagpur,22.318624473818385,87.20914377328688
Kharagpur,22.331122564166954,87.25372749300219
Kharagpur,22.323003033174032,87.22953000150811
Kharagpur,22.292338628132306,87.336228277289
Kharagpur,22.351955475511087,87.26281854316997
Kharagpur,22.35413851428997,87.25617473500473
Kharagpur,22.302119410856864,87.32719487876545
Kharagpur,22.357494793942912,87.27595277700911
Kharagpur,22.34356723022576,87.2053827052211
Kharagpur,22.38011301593186,87.32052745796463
Kharagpur,22.301126687285322,87.22630818102849
Kharagpur,22.34418545329005,87.30058047252831
Kharagpur,22.378256986419185,87.22448356171537
Kharagpur,22.251550477664964,87.32686555253206
Kharagpur,22.337396817512275,87.23286822930395
Kharagpur,22.341302520399953,87.23234026480982
Kharagpur,22.25596961495657,87.21687100179945
Kharagpur,22.338016210610984,87.23912618374828
Kharagpur,22.378937403965914,87.29429046751656
Kharagpur,22.387644584949943,87.33610097334942
Kharagpur,22.33397999455074,87.26263686998209
Kharagpur,22.3024705645918,87.23374510703677
